English_Word,Node_Collections,,
unls,Focus -> General/Universal  ||  Focus  ->  Objective  ->  Material Object  ->  Immaterial  ->  Factual  ->  Opinion/Perspective  ||  Subjective,Focus  ->  Abstract  ->  Creative  ||  Spatial  ->  Time  ->  Past  ->  Near  ->  Distant  ->  Present  ->  Future  ->  Near  ->  Distant  ->  Space  ->  Near/Close  ->  Far/Distant  ->  Location  ||  Action  ->  Past Tense/Occurred  ->  Current/Occuring  ->  Future/Forward  ->  Resting/Stopped  ||,Identity  ->  Species  ->  Self  ->  Close Related External  ->  Distant Related External  ->  Gender  ->  Unidentified  ->  Binary  ->  Trans  ->  Female  ->  Male  ||  Quantitative  ->  Singular  ->  Positive  ->  Negative  ->  Multiple  ->  Positive  ->  Negative
,,,
AM,Spatial  ->  Time,,
PM,Spatial  ->  Time,,
duck,Identity	 -> 	Species																														,,
dunebuggy,Focus	 -> 	Objective	 -> 	Material	Object																											,,
eagle,Identity	 -> 	Species																														,,
earmuffs,Focus	 -> 	Objective	 -> 	Material	Object																											,,
eel,Identity	 -> 	Species																														,,
eggplant,Focus	 -> 	Objective	 -> 	Material	Object																											,,
elephant,Identity	 -> 	Species																														,,
elevator,Focus	 -> 	Objective	 -> 	Material	Object																											,,
elk,Identity	 -> 	Species																														,,
emerald,Focus	 -> 	Objective	 -> 	Material	Object																											,,
emu,Identity	 -> 	Species																														,,
envelope,Focus	 -> 	Objective	 -> 	Material	Object																											,,
escalator,Focus	 -> 	Objective	 -> 	Material	Object																											,,
falcon,Identity	 -> 	Species																														,,
fan_(appliance),Focus	 -> 	Objective	 -> 	Material	Object																											,,
faucet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
fawn,Identity	 -> 	Species																														,,
fence,Focus	 -> 	Objective	 -> 	Material	Object																											,,
finch,Identity	 -> 	Species																														,,
flamingo,Identity	 -> 	Species																														,,
flea,Identity	 -> 	Species																														,,
flute,Focus	 -> 	Objective	 -> 	Material	Object																											,,
football,Focus	 -> 	Objective	 -> 	Material	Object																											,,
fork,Focus	 -> 	Objective	 -> 	Material	Object																											,,
fox,Identity	 -> 	Species																														,,
freezer,Focus	 -> 	Objective	 -> 	Material	Object																											,,
fridge,Focus	 -> 	Objective	 -> 	Material	Object																											,,
frog,Identity	 -> 	Species																														,,
garage,Focus	 -> 	Objective	 -> 	Material	Object																											,,
garlic,Identity	 -> 	Species																														,,
gate,Focus	 -> 	Objective	 -> 	Material	Object																											,,
giraffe,Identity	 -> 	Species																														,,
gloves,Focus	 -> 	Objective	 -> 	Material	Object																											,,
goat,Identity	 -> 	Species																														,,
goldfish,Identity	 -> 	Species																														,,
goose,Identity	 -> 	Species																														,,
gopher,Identity	 -> 	Species																														,,
gorilla,Identity	 -> 	Species																														,,
gown,Focus	 -> 	Objective	 -> 	Material	Object																											,,
grape,Focus	 -> 	Objective	 -> 	Material	Object																											,,
grapefruit,Focus	 -> 	Objective	 -> 	Material	Object																											,,
grasshopper,Identity	 -> 	Species																														,,
grater,Focus	 -> 	Objective	 -> 	Material	Object																											,,
grenade,Focus	 -> 	Objective	 -> 	Material	Object																											,,
groundhog,Identity	 -> 	Species																														,,
guitar,Focus	 -> 	Objective	 -> 	Material	Object																											,,
gun,Focus	 -> 	Objective	 -> 	F	Harmful																											,,
guppy,Identity	 -> 	Species																														,,
hammer,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hamster,Identity	 -> 	Species																														,,
hare,Identity	 -> 	Species																														,,
harmonica,Focus	 -> 	Objective	 -> 	Material	Object																											,,
harp,Focus	 -> 	Objective	 -> 	Material	Object																											,,
harpoon,Focus	 -> 	Objective	 -> 	Material	Object																											,,
harpsichord,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hatchet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hawk,Identity	 -> 	Species																														,,
helicopter,Focus	 -> 	Objective	 -> 	Material	Object																											,,
helmet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hoe,Focus	 -> 	Objective	 -> 	Material	Object																											,,
honeydew,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hook,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hornet,Identity	 -> 	Species																														,,
horse,Identity	 -> 	Species																														,,
hose,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hose_(leggings),Focus	 -> 	Objective	 -> 	Material	Object																											,,
house,Focus	 -> 	Objective	 -> 	Material	Object																											,,
housefly,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hut,Focus	 -> 	Objective	 -> 	Material	Object																											,,
hyena,Identity	 -> 	Species																														,,
iguana,Identity	 -> 	Species																														,,
inn,Focus	 -> 	Objective	 -> 	Material	Object																											,,
jacket,Focus	 -> 	Objective	 -> 	Material	Object																											,,
jar,Focus	 -> 	Objective	 -> 	Material	Object																											,,
jeans,Focus	 -> 	Objective	 -> 	Material	Object																											,,
jeep,Focus	 -> 	Objective	 -> 	Material	Object																											,,
jet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
kettle,Focus	 -> 	Objective	 -> 	Material	Object																											,,
key,Focus	 -> 	Objective	 -> 	Material	Object																											,,
keyboard_(musical),Focus	 -> 	Objective	 -> 	Material	Object																											,,
kite,Focus	 -> 	Objective	 -> 	Material	Object																											,,
knife,Focus	 -> 	Objective	 -> 	Material	Object																											,,
ladle,Identity	 -> 	Species																														,,
lamb,Identity	 -> 	Species																														,,
lamp,Focus	 -> 	Objective	 -> 	Material	Object																											,,
lantern,Focus	 -> 	Objective	 -> 	Material	Object																											,,
lemon,Identity	 -> 	Species																														,,
leopard,Identity	 -> 	Species																														,,
leotards,Focus	 -> 	Objective	 -> 	Material	Object																											,,
lettuce,Identity	 -> 	Species																														,,
level,Focus	 -> 	Objective	 -> 	Material	Object																											,,
lime,Identity	 -> 	Species																														,,
limousine,Focus	 -> 	Objective	 -> 	Material	Object																											,,
lion,Identity	 -> 	Species																														,,
lobster,Identity	 -> 	Species																														,,
machete,Focus	 -> 	Objective	 -> 	Material	Object																											,,
mackerel,Identity	 -> 	Species																														,,
magazine,Focus	 -> 	Objective	 -> 	Material	Object																											,,
mandarin,Identity	 -> 	Species																														,,
marble,Focus	 -> 	Objective	 -> 	Material	Object																											,,
mat,Focus	 -> 	Objective	 -> 	Material	Object																											,,
medal,Focus	 -> 	Objective	 -> 	Material	Object																											,,
menu,Focus	 -> 	Objective	 -> 	Material	Object																											,,
microscope,Focus	 -> 	Objective	 -> 	Material	Object																											,,
microwave,Focus	 -> 	Objective	 -> 	Material	Object																											,,
mink,Identity	 -> 	Species																														,,
mink_(coat),Focus	 -> 	Objective	 -> 	Material	Object																											,,
minnow,Identity	 -> 	Species																														,,
